KldB_Code,KldB_Label,ESCO_Code,ESCO_Label
B 24232-333,Fachkraft für Metalltechnik Fachrichtung Zerspanungstechnik,4f5e4fb1-58bd-4abd-bb06-4af9203a1518,Maschinenfeiler/Maschinenfeilerin
B 23412-100,Stahlstichpräger/Stahlstichprägerin,4f7e7482-39e7-4f3a-bf11-763620f4b8e0,Prägepresse-Operator/Prägepresse-Operatorin
B 23412-101,Papierpräger/Papierprägerin,4f7e7482-39e7-4f3a-bf11-763620f4b8e0,Prägepresse-Operator/Prägepresse-Operatorin
B 91314-116,Politologe/Politologin,4f89b0d2-b666-4890-af01-25d1d60da1f3,Politologe/Politologin
B 91254-117,Regionalwissenschaftler/Regionalwissenschaftlerin für Afrika-Studien,4f89b0d2-b666-4890-af01-25d1d60da1f3,Politologe/Politologin
B 91254-118,Regionalwissenschaftler/Regionalwissenschaftlerin für Asien-Studien,4f89b0d2-b666-4890-af01-25d1d60da1f3,Politologe/Politologin
B 91254-119,Regionalwissenschaftler/Regionalwissenschaftlerin für Europa-Studien,4f89b0d2-b666-4890-af01-25d1d60da1f3,Politologe/Politologin
B 91254-120,Regionalwissenschaftler/Regionalwissenschaftlerin für Islam-Studien,4f89b0d2-b666-4890-af01-25d1d60da1f3,Politologe/Politologin
B 91254-121,Regionalwissenschaftler/Regionalwissenschaftlerin für Lateinamerika-Studien,4f89b0d2-b666-4890-af01-25d1d60da1f3,Politologe/Politologin
B 91254-123,Regionalwissenschaftler/Regionalwissenschaftlerin für Nordamerika-Studien,4f89b0d2-b666-4890-af01-25d1d60da1f3,Politologe/Politologin
B 83131-100,Reisehelfer/Reisehelferin für Menschen mit Behinderung,4fa660b3-ab97-4a99-ad73-ce3c2612f2c3,Sozialassistent/Sozialassistentin
B 83123-106,Fachkraft für Sozialarbeit,4fa660b3-ab97-4a99-ad73-ce3c2612f2c3,Sozialassistent/Sozialassistentin
B 83133-108,Fachkraft für Arbeits- und Berufsförderung,4fa660b3-ab97-4a99-ad73-ce3c2612f2c3,Sozialassistent/Sozialassistentin
B 83131-112,Schulbegleiter/Schulbegleiterin,4fa660b3-ab97-4a99-ad73-ce3c2612f2c3,Sozialassistent/Sozialassistentin
B 11493-100,Fischwirtschaftsmeister/Fischwirtschaftsmeisterin Schwerpunkt Fischhaltung und Fischzucht,4fe4b1f1-e84d-4056-b062-83d5a64fc571,Führungskraft für die Ernte aquatischer Organismen
B 11423-100,Fischereitechniker/Fischereitechnikerin,4fe4b1f1-e84d-4056-b062-83d5a64fc571,Führungskraft für die Ernte aquatischer Organismen
B 11424-100,Ingenieur/Ingenieurin für Fischereitechnik,4fe4b1f1-e84d-4056-b062-83d5a64fc571,Führungskraft für die Ernte aquatischer Organismen
B 41213-100,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Biotechnik,4fef1907-cf82-413b-841a-02ef57e299a6,Labortechniker Biowissenschaften/Labortechnikerin Biowissenschaften
B 11132-100,Staatlich geprüfter Landwirtschaftlich-technischer Assistent/Staatlich geprüfte Landwirtschaftlich-technische Assistentin,4fef1907-cf82-413b-841a-02ef57e299a6,Labortechniker Biowissenschaften/Labortechnikerin Biowissenschaften
B 11132-101,Landwirtschaftlich-technischer Laborant/Landwirtschaftlich-technische Laborantin,4fef1907-cf82-413b-841a-02ef57e299a6,Labortechniker Biowissenschaften/Labortechnikerin Biowissenschaften
B 11132-102,Pflanzenschutzlaborant/Pflanzenschutzlaborantin,4fef1907-cf82-413b-841a-02ef57e299a6,Labortechniker Biowissenschaften/Labortechnikerin Biowissenschaften
B 81242-101,Veterinärmedizinisch-technischer Assistent/Veterinärmedizinisch-technische Assistentin,4fef1907-cf82-413b-841a-02ef57e299a6,Labortechniker Biowissenschaften/Labortechnikerin Biowissenschaften
B 11133-100,Landwirtschaftlicher Labortechniker/Landwirtschaftliche Labortechnikerin,4fef1907-cf82-413b-841a-02ef57e299a6,Labortechniker Biowissenschaften/Labortechnikerin Biowissenschaften
B 11132-120,Pflanzentechnologe/Pflanzentechnologin,4fef1907-cf82-413b-841a-02ef57e299a6,Labortechniker Biowissenschaften/Labortechnikerin Biowissenschaften
B 11193-137,Pflanzentechnologiemeister/Pflanzentechnologiemeisterin,4fef1907-cf82-413b-841a-02ef57e299a6,Labortechniker Biowissenschaften/Labortechnikerin Biowissenschaften
B 81242-107,Medizinischer Technologe/Medizinische Technologin für Veterinärmedizin,4fef1907-cf82-413b-841a-02ef57e299a6,Labortechniker Biowissenschaften/Labortechnikerin Biowissenschaften
B 26102-101,Roboterprogrammierer/Roboterprogrammiererin,5001506f-dd7d-4801-92ac-6f7e93b45133,Steuerer von Industrierobotern/Steuerin von Industrierobotern
B 82512-102,Orthopädiemechaniker und Bandagist/Orthopädiemechanikerin und Bandagistin,500b7b14-507c-4c49-816d-c1d0b05b85e4,Orthopädietechnik-Mechaniker/Orthopädietechnik-Mechanikerin
B 82593-100,Orthopädietechnikermeister/Orthopädietechnikermeisterin,500b7b14-507c-4c49-816d-c1d0b05b85e4,Orthopädietechnik-Mechaniker/Orthopädietechnik-Mechanikerin
B 82514-102,Ingenieur/Ingenieurin für Orthopädie- und Rehatechnik,500b7b14-507c-4c49-816d-c1d0b05b85e4,Orthopädietechnik-Mechaniker/Orthopädietechnik-Mechanikerin
B 82513-103,Rehabilitationsmitteltechniker/Rehabilitationsmitteltechnikerin,500b7b14-507c-4c49-816d-c1d0b05b85e4,Orthopädietechnik-Mechaniker/Orthopädietechnik-Mechanikerin
B 82513-106,Orthopädietechniker/Orthopädietechniker/in,500b7b14-507c-4c49-816d-c1d0b05b85e4,Orthopädietechnik-Mechaniker/Orthopädietechnik-Mechanikerin
B 82512-111,Orthopädietechnik-Mechaniker/Orthopädietechnik-Mechanikerin,500b7b14-507c-4c49-816d-c1d0b05b85e4,Orthopädietechnik-Mechaniker/Orthopädietechnik-Mechanikerin
B 22382-102,Böttcher/Böttcherin,501a3798-08bf-4475-88d2-0e8c9befb101,Böttcher/Böttcherin
B 22393-109,Böttchermeister/Böttchermeisterin,501a3798-08bf-4475-88d2-0e8c9befb101,Böttcher/Böttcherin
B 22102-112,Kunststoffspritzer/Kunststoffspritzerin,502fe307-ae65-46cb-a485-e559b9a35266,Kunststoffspritzer/Kunststoffspritzerin
B 22102-122,Verfahrensmechaniker/Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik (mit Schwerpunkten),502fe307-ae65-46cb-a485-e559b9a35266,Kunststoffspritzer/Kunststoffspritzerin
B 22102-142,Kunststoff-Formgeber/Kunststoff-Formgeberin,502fe307-ae65-46cb-a485-e559b9a35266,Kunststoffspritzer/Kunststoffspritzerin
B 34301-101,Helfer/Helferin in der Ver- und Entsorgung,503ea267-93e9-4b8c-ae5e-817fe7e4a245,Straßenkehrer/Straßenkehrerin
B 51622-100,Expedient/Expedientin,50609eb5-9957-4cbf-9b91-6f46ce49cfad,Frachtkontrolleur/Frachtkontrolleurin
B 82102-101,Altenpfleger/Altenpflegerin,50743f62-3d5b-4ef6-b706-00d2b1adfcc3,Sozialbetreuer in Betreuungseinrichtung für ältere Menschen/Sozialbetreuerin in Betreuungseinrichtung für ältere Menschen
B 83142-103,Sozialassistent/Sozialassistentin,50743f62-3d5b-4ef6-b706-00d2b1adfcc3,Sozialbetreuer in Betreuungseinrichtung für ältere Menschen/Sozialbetreuerin in Betreuungseinrichtung für ältere Menschen
B 83141-101,Senioren-Assistent/Senioren-Assistentin,50743f62-3d5b-4ef6-b706-00d2b1adfcc3,Sozialbetreuer in Betreuungseinrichtung für ältere Menschen/Sozialbetreuerin in Betreuungseinrichtung für ältere Menschen
B 82102-108,Pflegefachmann/Pflegefachfrau (Altenpflege),50743f62-3d5b-4ef6-b706-00d2b1adfcc3,Sozialbetreuer in Betreuungseinrichtung für ältere Menschen/Sozialbetreuerin in Betreuungseinrichtung für ältere Menschen
B 71324-101,Mergers-and-Acquisitions-Specialist,50760da6-abc3-424c-b159-8ddf0818e016,Unternehmensbewerter/Unternehmensbewerterin
B 11182-100,Pflanzenschützer/Pflanzenschützerin,509f9452-ed18-4fbf-8a4c-d45de85aa2f7,Mitarbeiter für die Pestizidausbringung/Mitarbeiterin für die Pestizidausbringung
B 53162-101,Inkassobeauftragter/Inkassobeauftragte im Außendienst,50a66df6-c141-4b4a-937a-d3bc55737ae3,Inkassobeauftragter/Inkassobeauftragte
B 43323-106,IT-Testkoordinator/IT-Testkoordinatorin,50af07f0-7a75-424e-a66d-5a9deea10f4c,IT-Accessibility-Prüfer/IT-Accessibility-Prüferin
B 43323-108,IT-Tester/IT-Testerin,50af07f0-7a75-424e-a66d-5a9deea10f4c,IT-Accessibility-Prüfer/IT-Accessibility-Prüferin
B 94512-104,Bühnenarbeiter/Bühnenarbeiterin,50b41847-6dad-4a2e-9427-a0374c2963fd,Theatermaschinist/Theatermaschinistin
B 73234-100,Beamter/Beamtin in der Steuerverwaltung (höherer nichttechnischer Dienst),50e00fda-ac7c-4bc5-9f19-69a33ff3d6e7,Referent für Steuerpolitik/Referentin für Steuerpolitik
B 92203-105,Politischer Berater/Politische Beraterin,50e00fda-ac7c-4bc5-9f19-69a33ff3d6e7,Referent für Steuerpolitik/Referentin für Steuerpolitik
B 51523-100,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Verkehrstechnik Schwerpunkt Eisenbahnbetrieb,511c8e9f-b19e-4ae8-9959-c047e7410441,Kontrolleur für Eisenbahninfrastruktur/Kontrolleurin für Eisenbahninfrastruktur
B 32293-120,Geprüfter Gleisbaumeister/Geprüfte Gleisbaumeisterin,511c8e9f-b19e-4ae8-9959-c047e7410441,Kontrolleur für Eisenbahninfrastruktur/Kontrolleurin für Eisenbahninfrastruktur
B 51222-103,Streckenwärter/Streckenwärterin (Bahn),511c8e9f-b19e-4ae8-9959-c047e7410441,Kontrolleur für Eisenbahninfrastruktur/Kontrolleurin für Eisenbahninfrastruktur
B 51322-102,Postabfertiger/Postabfertigerin,511f366c-ba41-4826-9622-8cda6d6e3b91,Postabfertiger/Postabfertigerin
B 28213-103,"Schnitt-, Entwurfs- und Fertigungsmodelleur/Schnitt-, Entwurfs- und Fertigungsdirektrice",5157706c-3fce-420e-9e7f-863000af5397,"Lederwaren-Schnitt-, Entwurfs- und Fertigungsmodelleur/Lederwaren-Schnitt-, Entwurfs- und Fertigungsdirektrice"
B 28293-153,Zuschnittleiter/Zuschnittleiterin (Schneiderei),5157706c-3fce-420e-9e7f-863000af5397,"Lederwaren-Schnitt-, Entwurfs- und Fertigungsmodelleur/Lederwaren-Schnitt-, Entwurfs- und Fertigungsdirektrice"
B 28222-116,Modenäher/Modenäherin,517c01aa-e875-4690-bf38-17307a57eafe,Textil- und Modenäher/Textil- und Modenäherin
B 28232-101,Gardinennäher/Gardinennäherin,517c01aa-e875-4690-bf38-17307a57eafe,Textil- und Modenäher/Textil- und Modenäherin
B 28232-109,Polster- und Dekorationsnäher/Polster- und Dekorationsnäherin,517c01aa-e875-4690-bf38-17307a57eafe,Textil- und Modenäher/Textil- und Modenäherin
B 28222-293,Textil- und Modenäher/Textil- und Modenäherin,517c01aa-e875-4690-bf38-17307a57eafe,Textil- und Modenäher/Textil- und Modenäherin
B 28193-100,Seilermeister/Seilermeisterin,518348e6-0095-4f37-ad46-5ef1b8b5ee2f,Produktionsleiter Textil/Produktionsleiterin Textil
B 28123-100,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Webereitechnik,518348e6-0095-4f37-ad46-5ef1b8b5ee2f,Produktionsleiter Textil/Produktionsleiterin Textil
B 28123-101,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Vliesstofferzeugung,518348e6-0095-4f37-ad46-5ef1b8b5ee2f,Produktionsleiter Textil/Produktionsleiterin Textil
B 28143-100,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Textilveredelung,518348e6-0095-4f37-ad46-5ef1b8b5ee2f,Produktionsleiter Textil/Produktionsleiterin Textil
B 28133-100,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Spinnereitechnik,518348e6-0095-4f37-ad46-5ef1b8b5ee2f,Produktionsleiter Textil/Produktionsleiterin Textil
B 28123-104,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Maschentechnik,518348e6-0095-4f37-ad46-5ef1b8b5ee2f,Produktionsleiter Textil/Produktionsleiterin Textil
B 28123-106,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Textilerzeugung,518348e6-0095-4f37-ad46-5ef1b8b5ee2f,Produktionsleiter Textil/Produktionsleiterin Textil
B 28193-111,Industriemeister/Industriemeisterin Fachrichtung Textilwirtschaft,518348e6-0095-4f37-ad46-5ef1b8b5ee2f,Produktionsleiter Textil/Produktionsleiterin Textil
B 26303-100,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Elektrotechnik (ohne Schwerpunkt),51c7015c-dc81-4fcb-b15f-619a4656a9fe,Elektronikmechaniker/Elektronikmechanikerin
B 62382-100,"Kaufmann/Kauffrau im Einzelhandel Fachbereich Diät- und Reformwaren, Lebensmittel",51ca3c6e-1c9b-49e4-aa09-9e77d1a59547,Fachverkäufer für Obst und Gemüse/Fachverkäuferin für Obst und Gemüse
B 62302-100,Fachverkäufer/Fachverkäuferin für Nahrungsmittel,51ca3c6e-1c9b-49e4-aa09-9e77d1a59547,Fachverkäufer für Obst und Gemüse/Fachverkäuferin für Obst und Gemüse
B 62302-103,Verkäufer/Verkäuferin im Nahrungsmittelhandwerk,51ca3c6e-1c9b-49e4-aa09-9e77d1a59547,Fachverkäufer für Obst und Gemüse/Fachverkäuferin für Obst und Gemüse
B 51624-100,Logistiker/Logistikerin,51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,Logistik-Analyst/Logistik-Analystin
B 71304-103,Master of Business Administration,51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,Logistik-Analyst/Logistik-Analystin
B 71303-111,Betriebswirt/Betriebswirtin (Fachschule) für Produktionswirtschaft,51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,Logistik-Analyst/Logistik-Analystin
B 71303-134,Fachwirt/Fachwirtin für Arbeitsstudium und Betriebsorganisation,51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,Logistik-Analyst/Logistik-Analystin
B 27304-164,Wirtschaftsingenieur/Wirtschaftsingenieurin,51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,Logistik-Analyst/Logistik-Analystin
B 51623-118,Betriebswirt/Betriebswirtin (Fachschule) für Logistik,51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,Logistik-Analyst/Logistik-Analystin
B 71304-114,Betriebswirt/Betriebswirtin (Hochschule),51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,Logistik-Analyst/Logistik-Analystin
B 71304-115,Betriebswirt/Betriebswirtin (Hochschule) für Industrie,51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,Logistik-Analyst/Logistik-Analystin
B 71304-116,Betriebswirt/Betriebswirtin (Hochschule) für Internationale Wirtschaft,51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,Logistik-Analyst/Logistik-Analystin
B 51624-113,Betriebswirt/Betriebswirtin (Hochschule) für Logistik,51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,Logistik-Analyst/Logistik-Analystin
B 51614-102,Betriebswirt/Betriebswirtin (Hochschule) für Verkehr,51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,Logistik-Analyst/Logistik-Analystin
B 71304-118,Betriebswirt/Betriebswirtin (Hochschule) für Handwerksmanagement,51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,Logistik-Analyst/Logistik-Analystin
B 92413-149,Video-Journalist/Video-Journalistin,51ec004e-aec8-4f89-b114-952bcc56b0b0,Vlogger/Vloggerin
B 92413-106,Onlineredakteur/Onlineredakteurin,51ec004e-aec8-4f89-b114-952bcc56b0b0,Vlogger/Vloggerin
B 82532-100,Hörgeräteakustiker/Hörgeräteakustikerin,521bbfd5-c179-46e3-879b-e74bd6db367c,Hörgeräteakustiker/Hörgeräteakustikerin
B 82593-103,Hörgeräteakustikermeister/Hörgeräteakustikermeisterin,521bbfd5-c179-46e3-879b-e74bd6db367c,Hörgeräteakustiker/Hörgeräteakustikerin
B 81222-109,HNO-Audiologieassistent/HNO-Audiologieassistentin,521bbfd5-c179-46e3-879b-e74bd6db367c,Hörgeräteakustiker/Hörgeräteakustikerin
B 82533-100,Hörgerätetechniker/Hörgerätetechnikerin,521bbfd5-c179-46e3-879b-e74bd6db367c,Hörgeräteakustiker/Hörgeräteakustikerin
B 82532-103,Hörakustiker/Hörakustikerin,521bbfd5-c179-46e3-879b-e74bd6db367c,Hörgeräteakustiker/Hörgeräteakustikerin
B 12143-101,Gartengestalter/Landschaftsgestalter / Gartengestalterin/Landschaftsgestalterin,52207284-2681-40d3-a317-ec81ca1b3e41,Landschaftsarchitekt/Landschaftsarchitektin
B 12144-105,Ingenieur/Ingenieurin für Landschaftsarchitektur,52207284-2681-40d3-a317-ec81ca1b3e41,Landschaftsarchitekt/Landschaftsarchitektin
B 12144-106,Landschaftsarchitekt/Landschaftsarchitektin,52207284-2681-40d3-a317-ec81ca1b3e41,Landschaftsarchitekt/Landschaftsarchitektin
B 52314-108,Verkehrsflugzeugführer/Verkehrsflugzeugführerin (ATPL (A)),522c55ca-ee4a-407d-9fc6-f810c5266523,Linienflugzeugführer/Linienflugzeugführerin
B 52314-108,Verkehrsflugzeugführer/Verkehrsflugzeugführerin (ATPL (A)),523ab5a0-5e72-418d-9d61-a6126a446123,Verkehrsflugzeugführer/Verkehrsflugzeugführerin
B 52313-104,Berufsflugzeugführer/Berufsflugzeugführerin (CPL (A)),523ab5a0-5e72-418d-9d61-a6126a446123,Verkehrsflugzeugführer/Verkehrsflugzeugführerin
B 83194-101,Leiter/Leiterin eines Schullandheimes,526ba8e1-fc71-4657-8d27-52f03e8ca81d,Koordinator für Kinderbetreuungsdienste/Koordinatorin für Kinderbetreuungsdienste
B 83193-103,Fachwirt/Fachwirtin für Erziehungswesen,526ba8e1-fc71-4657-8d27-52f03e8ca81d,Koordinator für Kinderbetreuungsdienste/Koordinatorin für Kinderbetreuungsdienste
B 83124-123,Sozialarbeiter/Sozialpädagoge / Sozialarbeiterin/Sozialpädagogin,526ba8e1-fc71-4657-8d27-52f03e8ca81d,Koordinator für Kinderbetreuungsdienste/Koordinatorin für Kinderbetreuungsdienste
B 24112-101,Verfahrensmechaniker/Verfahrensmechanikerin in der Hütten- und Halbzeugindustrie Fachrichtung Nichteisen-Metallurgie,528e63a7-91be-4477-be2f-69ce82deb726,Schmelzofensteuerer/Schmelzofensteuerin
B 24112-103,Verfahrensmechaniker/Verfahrensmechanikerin in der Hütten- und Halbzeugindustrie Fachrichtung Eisen- und Stahl-Metallurgie,528e63a7-91be-4477-be2f-69ce82deb726,Schmelzofensteuerer/Schmelzofensteuerin
B 24112-109,Metallschmelzer/Metallschmelzerin,528e63a7-91be-4477-be2f-69ce82deb726,Schmelzofensteuerer/Schmelzofensteuerin
B 24112-162,Verfahrenstechnologe/Verfahrenstechnologin Metall Fachrichtung Eisen- und Stahlmetallurgie,528e63a7-91be-4477-be2f-69ce82deb726,Schmelzofensteuerer/Schmelzofensteuerin
B 24112-163,Verfahrenstechnologe/Verfahrenstechnologin Metall Fachrichtung Nichteisenmetallurgie,528e63a7-91be-4477-be2f-69ce82deb726,Schmelzofensteuerer/Schmelzofensteuerin
B 62212-101,"Kaufmann/Kauffrau im Einzelhandel Fachbereich Textil, Bekleidung",528f90ed-e250-48bd-aacc-ffb7b1de5654,Fachverkäufer für Stoffe und Heimtextilien/Fachverkäuferin für Stoffe und Heimtextilien
B 62212-104,"Fachverkäufer/Fachverkäuferin für Textilien, Bekleidung",528f90ed-e250-48bd-aacc-ffb7b1de5654,Fachverkäufer für Stoffe und Heimtextilien/Fachverkäuferin für Stoffe und Heimtextilien
B 94404-104,Producer/Producerin,52b9e8dc-de6c-41dd-b29a-e1291c273f6f,Produzent/Produzentin
B 94404-133,Podcast-Produzent/Podcast-Produzentin,52b9e8dc-de6c-41dd-b29a-e1291c273f6f,Produzent/Produzentin
B 26301-111,Helfer/Helferin für Elektro,52c25b47-c36e-49ff-92ce-8a8c5413fde6,SMD-Maschinenbediener/SMD-Maschinenbedienerin
B 51694-103,Leiter/Leiterin für Logistik,52d303a7-630b-4e3f-9f62-becd9b2fcb46,Vertriebsleiter für Metalle und Metallerze/Vertriebsleiterin für Metalle und Metallerze
B 43323-106,IT-Testkoordinator/IT-Testkoordinatorin,52d5edc9-7902-4cd3-8b06-6bd77c98d440,IT-Systemprüfer/IT-Systemprüferin
B 43323-108,IT-Tester/IT-Testerin,52d5edc9-7902-4cd3-8b06-6bd77c98d440,IT-Systemprüfer/IT-Systemprüferin
B 81614-100,Arbeitspsychologe/Arbeitspsychologin,52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin
B 81624-101,Forensischer Psychologe/Forensische Psychologin,52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin
B 81624-103,Suchtpsychologe/Suchtpsychologin,52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin
B 81614-102,Verkehrspsychologe/Verkehrspsychologin,52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin
B 81624-110,Psychologe/Psychologin,52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin
B 81614-108,Kognitionswissenschaftler/Kognitionswissenschaftlerin,52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin
B 81614-109,Kommunikationspsychologe/Kommunikationspsychologin,52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin
B 81624-113,Sozialpsychologe/Sozialpsychologin,52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin
B 81614-110,Wirtschaftspsychologe/Wirtschaftspsychologin,52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin
B 81614-111,Sportpsychologe/Sportpsychologin,52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin
B 81614-112,Pädagogischer Psychologe/Pädagogische Psychologin,52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin
B 23224-104,Computer-Animator/Computer-Animatorin,52df9d56-efd4-48d0-ad93-59231943fc4c,3D-Animationstechniker/3D-Animationstechnikerin
B 23223-145,Computervisualist/Computervisualistin,52df9d56-efd4-48d0-ad93-59231943fc4c,3D-Animationstechniker/3D-Animationstechnikerin
B 23223-151,Virtual/Augmented Reality-Entwickler/Virtual/Augmented Reality-Entwicklerin,52df9d56-efd4-48d0-ad93-59231943fc4c,3D-Animationstechniker/3D-Animationstechnikerin
B 61283-107,"Technischer Fachkaufmann/Technische Fachkauffrau Fachrichtung Werkzeuge, Maschinen",52fcfdb9-9dcf-4591-aba5-45337f791a10,Fachkraft technischer Vertrieb von Bergbau- und Baumaschinen
B 25104-142,Ingenieur/Ingenieurin für Maschinenbau,52fcfdb9-9dcf-4591-aba5-45337f791a10,Fachkraft technischer Vertrieb von Bergbau- und Baumaschinen
B 24142-100,Former/Formerin,5318abf2-2e7b-4d09-ae57-6bd500689ebc,Gießereimechaniker Schwerpunkt Handformguss/Gießereimechanikerin Schwerpunkt Handformguss
B 24142-105,Gießereimechaniker/Gießereimechanikerin Fachrichtung Handformguss,5318abf2-2e7b-4d09-ae57-6bd500689ebc,Gießereimechaniker Schwerpunkt Handformguss/Gießereimechanikerin Schwerpunkt Handformguss
B 24142-196,Gießereimechaniker/Gießereimechanikerin Schwerpunkt Handformguss,5318abf2-2e7b-4d09-ae57-6bd500689ebc,Gießereimechaniker Schwerpunkt Handformguss/Gießereimechanikerin Schwerpunkt Handformguss
B 28293-107,Segelmachermeister/Segelmachermeisterin,531e98aa-2a03-489d-b811-ebbb7389864a,Planenkonfektionär/Planenkonfektionärin
B 28232-103,Technischer Konfektionär/Technische Konfektionärin,531e98aa-2a03-489d-b811-ebbb7389864a,Planenkonfektionär/Planenkonfektionärin
B 28232-107,Kunststoff- und Schwergewebekonfektionär/Kunststoff- und Schwergewebekonfektionärin,531e98aa-2a03-489d-b811-ebbb7389864a,Planenkonfektionär/Planenkonfektionärin
B 34212-112,"Anlagenmechaniker/Anlagenmechanikerin für Sanitär-, Heizungs- und Klimatechnik",534d18fe-eae4-4a02-af4d-f78e92faa5d5,Techniker für Bewässerungssysteme/Technikerin für Bewässerungssysteme
B 27303-111,REFA-Prozessorganisator/REFA-Prozessorganisatorin,53be4843-8f31-4645-b25c-9a5bbb04f6b6,Prozesstechniker/Prozesstechnikerin
B 27303-132,Geprüfter Prozessmanager/Geprüfte Prozessmanagerin - Produktionstechnologie,53be4843-8f31-4645-b25c-9a5bbb04f6b6,Prozesstechniker/Prozesstechnikerin
B 26303-122,Geprüfter Prozessmanager/Geprüfte Prozessmanagerin - Elektrotechnik,53be4843-8f31-4645-b25c-9a5bbb04f6b6,Prozesstechniker/Prozesstechnikerin
B 28332-108,Schuhfertiger/Schuhfertigerin,53c0086b-9b54-4c29-8bba-69ce8256cb91,Oberlederschärfer/Oberlederschärferin
B 28322-205,Fachkraft für Lederverarbeitung,53c0086b-9b54-4c29-8bba-69ce8256cb91,Oberlederschärfer/Oberlederschärferin
B 25183-149,Konstrukteur/Konstrukteurin Fachrichtung Hydraulik- und Pneumatiktechnik,53c7756d-4114-4c7f-90b0-26717f458ac5,Pneumatik-Fachkraft
B 25183-105,Pneumatik-Fachkraft,53c7756d-4114-4c7f-90b0-26717f458ac5,Pneumatik-Fachkraft
B 81804-104,Pharmazeut/Pharmazeutin,53cdcc84-e5ee-488c-aa09-88084e06d6d7,Industrie-Pharmazeut/Industrie-Pharmazeutin
B 63293-102,Herbergswirt/Herbergswirtin,53cdd34e-22f2-41bd-b3c7-de22bf9bbcae,Leiter eines Beherbergungsbetriebs/Leiterin eines Beherbergungsbetriebs
B 63293-103,Pensionsleiter/Pensionsleiterin,53cdd34e-22f2-41bd-b3c7-de22bf9bbcae,Leiter eines Beherbergungsbetriebs/Leiterin eines Beherbergungsbetriebs
B 63294-102,Betriebsleiter/Betriebsleiterin - Hotel/Gaststätten,53cdd34e-22f2-41bd-b3c7-de22bf9bbcae,Leiter eines Beherbergungsbetriebs/Leiterin eines Beherbergungsbetriebs
B 63294-104,Leiter/Leiterin eines Beherbergungsbetriebs,53cdd34e-22f2-41bd-b3c7-de22bf9bbcae,Leiter eines Beherbergungsbetriebs/Leiterin eines Beherbergungsbetriebs
B 63294-107,General Manager/General Managerin (Hotellerie),53cdd34e-22f2-41bd-b3c7-de22bf9bbcae,Leiter eines Beherbergungsbetriebs/Leiterin eines Beherbergungsbetriebs
B 63293-105,Hotelmeister/Hotelmeisterin,53cdd34e-22f2-41bd-b3c7-de22bf9bbcae,Leiter eines Beherbergungsbetriebs/Leiterin eines Beherbergungsbetriebs
B 63213-109,"Betriebswirt/Betriebswirtin (Fachschule) für Hotel-, Gaststättengewerbe",53cdd34e-22f2-41bd-b3c7-de22bf9bbcae,Leiter eines Beherbergungsbetriebs/Leiterin eines Beherbergungsbetriebs
B 63294-109,Betriebswirt/Betriebswirtin (Hochschule) für Hotelmanagement,53cdd34e-22f2-41bd-b3c7-de22bf9bbcae,Leiter eines Beherbergungsbetriebs/Leiterin eines Beherbergungsbetriebs
