KldB_Code,KldB_Label,ESCO_Code,ESCO_Label
B 25243-108,Konstrukteur/Konstrukteurin Fachrichtung Schiffbau,04849c5c-9236-4a75-aabb-11c6d03e459c,Schiffbautechniker/Schiffbautechnikerin
B 25243-100,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Schiffbautechnik,04849c5c-9236-4a75-aabb-11c6d03e459c,Schiffbautechniker/Schiffbautechnikerin
B 27182-101,Beamter/Beamtin in der Wehrverwaltung des Bundes (mittlerer technischer Dienst),04849c5c-9236-4a75-aabb-11c6d03e459c,Schiffbautechniker/Schiffbautechnikerin
B 61132-100,"Auktionator, Versteigerer/Auktionatorin, Versteigerin",04b52c04-0620-4558-8f89-e252de2963ff,Auktionshausleiter/Auktionshausleiterin
B 43414-102,Softwareentwickler/Softwareentwicklerin,04ba4d6c-957d-417f-bf63-5b9e015a9f86,Softwareanalytiker/Softwareanalytikerin
B 72294-101,Leiter/Leiterin - Finanz- und Rechnungswesen,04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,Leiter der Buchhaltung/Leiterin der Buchhaltung
B 71304-103,Master of Business Administration,04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,Leiter der Buchhaltung/Leiterin der Buchhaltung
B 71303-108,Betriebswirt/Betriebswirtin (Fachschule/Ausbildung) für allgemeine Betriebswirtschaft,04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,Leiter der Buchhaltung/Leiterin der Buchhaltung
B 71303-112,Praktischer Betriebswirt/Praktische Betriebswirtin,04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,Leiter der Buchhaltung/Leiterin der Buchhaltung
B 71303-130,Geprüfter Betriebswirt/Geprüfte Betriebswirtin nach dem Berufsbildungsgesetz - Master Professional in Business Management nach dem Berufsbildungsgesetz,04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,Leiter der Buchhaltung/Leiterin der Buchhaltung
B 71303-146,Betriebswirt/Betriebswirtin (Fachschule) - international,04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,Leiter der Buchhaltung/Leiterin der Buchhaltung
